Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
221,21909486,0,0,-1132233,-6032605,0,-14744647,0
222,8183859,36265,197709,-9588209,-2037250,0,3207626,0
223,1156192,3422521,4948063,-15887096,-80635,0,6440955,0
224,13803202,7416230,8652643,-24339294,-2522866,0,-3009915,0
225,10785656,7656662,8750480,-25294548,-3780877,0,1882626,0
226,0,3588387,15891379,-22875646,-1825101,0,5220981,0
227,1037759,1573442,6304287,-16300318,-51379,0,7436209,0
228,202791,0,0,-9518988,-11993,0,9328190,0
229,8602192,1280318,452285,-9673654,-739275,0,78134,0
230,8556114,0,0,-3138167,-637211,0,-4780735,0
231,7281414,0,0,-735970,-710428,0,-5835016,0
232,25942097,0,0,-770035,-5596997,0,-19575065,0
233,17659970,0,0,-1352993,-9322954,0,-6984023,0
234,9075931,2928,41772,-10861499,-1612213,0,3353082,0
235,15729640,37949,369527,-14274482,-2094392,0,231758,0
236,4222122,3224648,4018349,-19788913,-195617,0,8519411,0
237,2422703,8724857,9970356,-24108597,-254921,0,3245603,0
238,1426371,10935329,12351173,-25946680,-2592325,0,3826132,0
239,0,3629497,5422860,-18602236,0,0,9549879,0
240,4380400,0,0,-12637036,-315685,0,8572321,0
241,30436565,1704648,526485,-7790258,-3698650,0,-21178791,0
242,8512003,0,0,-2651855,-1359723,0,-4500425,0
243,29362397,0,0,-770511,-15835502,0,-12756383,0
244,5626776,0,0,-936590,-3761404,0,-928782,0
245,11230782,0,0,-1076545,-8306037,0,-1848201,0
246,26458534,0,0,-8467095,-16908176,0,-1083263,0
247,3121613,34658,45735,-12918875,-156252,0,9873121,0
248,10159962,3347128,3755272,-18443338,-721498,0,1902474,0
249,7058115,7445886,8514002,-23814837,-884890,0,1681724,0
250,2026901,8399534,8889136,-21149882,-2114312,0,3948621,0
251,953280,4026034,4387196,-18153940,-51530,0,8838959,0
252,275050,0,0,-13659811,-10428,0,13395189,0
253,6515048,922979,285619,-8201299,-556228,0,1033881,0
254,5373219,0,0,-1912799,-409340,0,-3051081,0
255,4368965,0,0,-779542,-361961,0,-3227461,0
256,22015796,0,0,-879804,-3819046,0,-17316945,0
257,7643243,0,0,-1513126,-1986409,0,-4143708,0
258,26207182,0,0,-9187188,-8720362,0,-8299633,0
259,9420633,2134,75304,-15077799,-2009946,0,7589674,0
