Date,PRCP_mm_cal,PRCP_mm_fj,PRCP_mm_et,PRCP_mm_gv,PRCP_mm_yr,PRCP_mm_y2,PRCP_mm_orig,mean_PRCP_fjcal,month_day1,water_year,fj_interp,cal_interp,gv_interp,interp_cal_fj_gv_mean,interp_cal_fj_mean,interp_cal_gv_mean,stitched
1936-03-01,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-02,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-03,NA,0,3.3,NA,0,NA,NA,0,1936-03-01,1936,0,0,1.7280737808473,0.576024593615767,0,0.86403689042365,0
1936-03-04,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-05,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-06,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-07,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-08,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-09,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-10,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-11,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-12,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-13,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-14,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-15,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-16,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-17,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-18,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-19,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-20,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-21,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-22,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-23,NA,0,NA,NA,0.8,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-24,NA,1.8,NA,NA,0,NA,NA,1.8,1936-03-01,1936,1.8,1.21128806246323,1.12918575024033,1.38015793756785,1.50564403123161,1.17023690635178,1.50564403123161
1936-03-25,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-26,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-27,NA,0,NA,NA,0,NA,NA,0,1936-03-01,1936,0,0,0,0,0,0,0
1936-03-28,NA,1.3,NA,NA,0,NA,NA,1.3,1936-03-01,1936,1.3,0.874819156223441,0.815523041840235,0.996780732687892,1.08740957811172,0.845171099031838,1.08740957811172
1936-03-29,NA,0,6.4,NA,0,NA,NA,0,1936-03-01,1936,0,0,3.35141581740082,1.11713860580027,0,1.67570790870041,0
1936-03-30,NA,4.1,3.3,NA,5.1,NA,NA,4.1,1936-03-01,1936,4.1,2.75904503116624,1.7280737808473,2.86237293733785,3.42952251558312,2.24355940600677,3.42952251558312
1936-03-31,NA,2.5,6.4,NA,0,NA,NA,2.5,1936-03-01,1936,2.5,1.68234453119893,3.35141581740082,2.51125344953325,2.09117226559946,2.51688017429987,2.09117226559946
1936-04-01,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-02,NA,0,6.4,NA,0.8,NA,NA,0,1936-04-01,1936,0,0,7.53550547687155,2.51183515895718,0,3.76775273843578,0
1936-04-03,NA,2,NA,NA,4.6,NA,NA,2,1936-04-01,1936,2,1.32513587699207,1.15720505739154,1.49411364479453,1.66256793849603,1.2411704671918,1.66256793849603
1936-04-04,NA,3.8,NA,NA,0,NA,NA,3.8,1936-04-01,1936,3.8,2.51775816628493,2.19868960904392,2.83881592510962,3.15887908314247,2.35822388766442,3.15887908314247
1936-04-05,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-06,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-07,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-08,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-09,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-10,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-11,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-12,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-13,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-14,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-15,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-16,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-17,NA,1.3,NA,NA,0,NA,NA,1.3,1936-04-01,1936,1.3,0.861338320044845,0.752183287304498,0.971173869116448,1.08066916002242,0.806760803674671,1.08066916002242
1936-04-18,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-19,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
1936-04-20,NA,0,NA,NA,0,NA,NA,0,1936-04-01,1936,0,0,0,0,0,0,0
