Source,Year,FA_Tim,FA_Mag,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_BFL_Dur,Wet_Tim,Peak_2,Peak_5,Peak_10,Peak_Dur_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_2,Peak_Fre_5,Peak_Fre_10,SP_Tim,SP_Mag,SP_ROC,SP_Dur,DS_Mag_50,DS_Mag_90,DS_Dur_WS,DS_Tim,DS_7d_Low_Mag,DS_7d_Low_Tim,DS_No_Flow_Tim,DS_No_Flow_Dur,Overall_Int_Class,Int_Class,WYT,Avg,Std,CV
fj_reservoir_shackleford_update_2025-09-30,2024,,,,366.6423755648411,874.4139564,152,78,2083.407976,3657.732877468569,6090.283066890497,2,,,1,,,230,1687.100164,0.060960714672915486,62,57.84947472,1102.1551768424586,197,292,10.073670786198324,333,,,Perennial,Perennial,unknown,491.02774145955874,505.86098224834114,1.0302085595911368
fj_reservoir_shackleford_update_2025-09-30,2025,54,485.3290157,53,1097.039434540125,1344.423232595575,76,123,2083.407976,3657.732877468569,6090.283066890497,14,,,3,,,199,1833.967896,0.052727082,96,58.55982678,1126.2964914953204,194,295,,,,,,,unknown,700.6913347701501,731.8507463390661,1.0444695260562018
11519500,1942,,,,,,,,4520,10920,13380.000000000002,,,,,,,249,1850,0.042471042,77,70.5,114.40000000000003,92,326,61.571428571428555,365,,,Perennial,Perennial,unknown,707.8082191780821,711.2441743514554,1.0048543589637362
11519500,1943,40,129,8,672,1390,151,52,4520,10920,13380.000000000002,2,,,2,,,203,2110,0.04,122,69,147,91,325,58.14285714285714,374,,,Perennial,Perennial,unknown,831.2876712328767,838.7736886710894,1.0090053271536077
11519500,1944,26,190,3,142,281,195,50,4520,10920,13380.000000000002,,,,,,,245,598,0.03125,90,48,151.39999999999998,88,335,45.85714285714285,362,,,Perennial,Perennial,unknown,232.54918032786884,192.14693414834082,0.826263648
11519500,1945,35,470,3,187.7,422.5,168,57,4520,10920,13380.000000000002,,,,,,,225,1790,0.037433155,94,54,174.5,96,319,47.99999999999999,359,,,Perennial,Perennial,unknown,404.84383561643835,435.08099103887565,1.074688442214753
11519500,1946,31,614,4,402.70000000000005,769,182,49,4520,10920,13380.000000000002,2,,,1,,,231,1710,0.044310576,96,84,380.79999999999995,155,327,59.42857142857142,360,,,Perennial,Perennial,unknown,632.2876712328767,688.1805489333401,1.088397861042395
11519500,1947,50,1020,2,280.4,549,99,116,4520,10920,13380.000000000002,,,,,,,215,1110,0.057416268,77,48,156.60000000000014,105,292,38.285714285714285,365,,,Perennial,Perennial,unknown,302.44109589041096,290.59722152911723,0.960839071
11519500,1948,17,634,3,120,350,224,31,4520,10920,13380.000000000002,2,,,1,,,255,1980,0.064378307,55,89,145,121,310,73,346,,,Perennial,Perennial,unknown,487.6256830601093,701.4975972963211,1.4385985432392576
11519500,1949,35,216,7,146.9,435.5,160,65,4520,10920,13380.000000000002,,,,,,,225,2300,0.054576481538938876,77,50,74,121,302,42.57142857142857,355,,,Perennial,Perennial,unknown,399.2054794520548,461.2945440912257,1.1555315942165765
11519500,1950,42,82,3,85,763,186,57,4520,10920,13380.000000000002,,,,,,,243,1400,0.045340338053905894,80,58.5,76.9,68,323,49.14285714285714,351,,,Perennial,Perennial,unknown,473.73972602739724,511.09256131356665,1.0788467448136474
11519500,1951,9,103,1,609.4,1180,103,25,4520,10920,13380.000000000002,7,,,4,,,128,8340,0.046434494,187,60,115,91,315,53.14285714285714,350,,,Perennial,Perennial,wet,924.6328767123288,1078.722020136486,1.1666489990838789
11519500,1952,24,200,4,397,1350,211,40,4520,10920,13380.000000000002,2,,,1,,,251,2610,0.073313783,62,104.5,243.90000000000006,142,313,85.42857142857143,397,,,Perennial,Perennial,wet,1019.3907103825137,979.0345042234983,0.9604114440636091
11519500,1953,68,614,8,724.4,1290,172,89,4520,10920,13380.000000000002,6,2,,3,1,,261,2180,0.048048481,65,128,644,119,326,90.85714285714285,352,,,Perennial,Perennial,wet,954.9205479452055,1306.9025921881832,1.3685982514465433
11519500,1954,45,698,5,451.6,1240,127,79,4520,10920,13380.000000000002,3,,,2,,,206,2050,0.057870970529772706,103,93,105,102,309,78.85714285714286,326,,,Perennial,Perennial,wet,799.7835616438356,820.6893759423081,1.0261393398177674
11519500,1955,40,399,1,169,211,209,45,4520,10920,13380.000000000002,,,,,,,254,815,0.07194617,58,38,60.900000000000006,102,312,23.857142857142858,345,,,Perennial,Perennial,dry,219.24657534246575,203.66288159010904,0.9289216092519813
11519500,1956,35,66,1,573.8,1525,188,48,4520,10920,13380.000000000002,9,2,2,3,1,1,236,2860,0.052156177,125,167,333.8,75,361,81.57142857142856,369,,,Perennial,Perennial,wet,1252.844262295082,2164.9888944066747,1.728059073
11519500,1957,27,258,3,212.4,982,173,70,4520,10920,13380.000000000002,3,,,1,,,243,1480,0.045454545454545456,58,91,421.4000000000002,107,301,52.71428571428571,338,,,Perennial,Perennial,moderate,581.2219178082191,737.6131722307953,1.2690732225177015
11519500,1958,11,1010,10,462.20000000000005,1340,189,42,4520,10920,13380.000000000002,14,1,,4,1,,231,3330,0.048387097,130,116,195,91,361,93.14285714285714,377,,,Perennial,Perennial,wet,1304.2054794520548,1567.0942026470443,1.2015700189401435
11519500,1959,45,265,6,451.80000000000007,681,140,86,4520,10920,13380.000000000002,,,,,,,226,1220,0.056277056,91,54,63,146,317,27,344,,,Perennial,Perennial,dry,396.0986301369863,424.6194249272173,1.0720042752492414
11519500,1960,,,,107.5,626,152,97,4520,10920,13380.000000000002,2,,,1,,,249,1470,0.063492063,61,61,79.5,116,310,41.857142857142854,369,,,Perennial,Perennial,dry,389.2896174863388,608.7023627315207,1.563623419144698
11519500,1961,50,97,3,261,740,185,60,4520,10920,13380.000000000002,1,,,1,,,245,1820,0.056349206,86,68,107.3,88,331,45.71428571428571,338,,,Perennial,Perennial,moderate,528.5068493150685,621.1340252717985,1.175262016143731
11519500,1962,28,109,3,213,456,167,53,4520,10920,13380.000000000002,,,,,,,220,1200,0.050847458,121,271.5,1136.0000000000023,80,341,50.42857142857143,351,,,Perennial,Perennial,dry,398.6794520547945,385.4359477938644,0.9667815730339924
11519500,1963,13,6780,6,399.1,1065,178,55,4520,10920,13380.000000000002,9,,,3,,,233,2480,0.037593985,92,66,117,76,325,56.99999999999999,338,,,Perennial,Perennial,wet,910.0082191780822,1212.5529741009002,1.3324637608175407
11519500,1964,12,123,2,378.5,548,216,35,4520,10920,13380.000000000002,,,,,,,251,1000,0.069241012,36,57,113.60000000000001,139,287,40.99999999999999,341,,,Perennial,Perennial,moderate,434.6830601092896,402.0459195254059,0.9249173856103848
